symbol,date,open,high,low,close,volume,percent_change,traded_amount
ADBL,2021-08-31,555.0,556.0,540.0,544.0,99639,-2.68,54335931.5
ADBL,2021-09-01,544.0,554.0,538.0,548.5,93937,0.83,51361611.7
ADBL,2021-09-02,548.0,555.0,540.3,547.0,64932,-0.27,35529772.8
ADBL,2021-09-05,539.0,542.0,517.1,529.0,118899,-3.29,62666798.2
ADBL,2021-09-06,529.0,555.0,519.1,555.0,80904,4.91,43816974.4
ADBL,2021-09-07,555.0,555.0,544.0,544.0,39266,-1.98,21549935.6
ADBL,2021-09-08,544.4,544.4,530.0,535.0,37797,-1.65,20163896.0
ADBL,2021-09-09,538.0,543.0,530.0,535.3,37249,0.06,19885167.6
ADBL,2021-09-12,535.0,544.0,535.0,539.0,49372,0.69,26630314.1
ADBL,2021-09-13,548.0,553.0,540.0,546.0,61708,1.3,33836285.9
ADBL,2021-09-14,550.0,552.0,540.0,547.0,50050,0.18,27281851.4
ADBL,2021-09-15,547.0,547.0,535.0,536.0,51866,-2.01,27895691.3
ADBL,2021-09-16,535.0,535.0,515.0,520.2,84511,-2.95,43966356.8
ADBL,2021-09-20,525.0,526.0,503.0,507.9,112904,-2.36,57412333.4
ADBL,2021-09-21,500.0,518.0,492.0,507.0,80684,-0.18,40696968.9
ADBL,2021-09-22,517.0,535.0,510.0,529.0,61892,4.34,32217081.3
ADBL,2021-09-23,539.5,559.0,532.0,545.0,113896,3.02,62392147.2
ADBL,2021-09-26,555.7,560.0,536.0,540.0,80063,-0.92,43366080.7
ADBL,2021-09-27,539.0,539.0,515.0,523.0,71015,-3.15,37137368.1
ADBL,2021-09-28,525.0,525.0,506.0,509.0,65077,-2.68,33262318.0
ADBL,2021-09-29,510.0,512.0,494.9,512.0,78586,0.59,39445114.6
ADBL,2021-09-30,515.0,517.0,505.0,508.0,48902,-0.78,24909992.4
ADBL,2021-10-03,508.0,508.0,498.0,498.0,62039,-1.97,31014736.0
ADBL,2021-10-04,498.0,502.0,491.0,497.0,54880,-0.2,27300681.6
ADBL,2021-10-05,495.0,507.0,492.0,504.0,55864,1.41,28139959.0
ADBL,2021-10-06,514.0,514.9,500.0,506.0,39844,0.4,20236639.5
ADBL,2021-10-10,506.0,524.0,505.0,509.5,51759,0.69,26358571.6
ADBL,2021-10-11,509.0,510.9,500.0,509.0,26076,-0.1,13179497.6
ADBL,2021-10-17,509.0,514.9,505.0,507.9,13824,-0.22,7014061.5
ADBL,2021-10-18,508.0,508.0,494.2,496.0,38949,-2.34,19403293.9
ADBL,2021-10-19,502.0,502.0,482.0,493.0,42712,-0.6,20766134.8
ADBL,2021-10-20,502.8,517.1,492.0,503.8,28247,2.19,14082413.8
ADBL,2021-10-21,494.0,505.0,494.0,500.2,30079,-0.71,15058229.2
ADBL,2021-10-24,501.0,505.0,492.0,503.0,39448,0.56,19694717.1
ADBL,2021-10-25,504.0,513.0,499.0,512.0,47523,1.79,24108882.8
ADBL,2021-10-26,520.0,525.0,513.0,525.0,60461,2.54,31346044.7
ADBL,2021-10-27,527.0,558.5,516.0,551.0,193472,4.95,105003048.7
ADBL,2021-10-28,555.0,560.0,538.0,538.0,91581,-2.36,49867046.4
ADBL,2021-10-31,530.0,544.0,524.0,532.0,75090,-1.12,39966443.4
ADBL,2021-11-01,521.4,535.0,520.0,521.0,66975,-2.07,35085959.1
ADBL,2021-11-02,521.0,529.9,515.0,528.5,30675,1.44,15991201.5
ADBL,2021-11-03,539.0,549.0,533.0,542.9,103451,2.72,56207790.5
ADBL,2021-11-08,543.0,544.0,528.0,528.0,27478,-2.74,14646766.0
ADBL,2021-11-09,528.1,530.0,512.0,515.0,53120,-2.46,27522253.7
