symbol,date,open,high,low,close,volume,percent_change,traded_amount
AHL,2023-03-23,298.8,328.6,298.8,328.6,3220,9.97,1055530.8
AHL,2023-03-26,335.0,361.4,335.0,361.4,980,9.98,353522.0
AHL,2023-03-27,368.6,397.5,368.6,397.5,6410,9.99,2547264.0
AHL,2023-03-28,405.4,437.2,405.4,437.2,5420,9.99,2368772.0
AHL,2023-03-29,445.9,480.9,445.0,448.0,52292,2.47,23775403.1
AHL,2023-03-30,440.1,450.0,430.4,437.6,23220,-2.32,10186483.0
AHL,2023-04-02,435.0,440.0,404.0,419.1,19656,-4.23,8296047.0
AHL,2023-04-03,411.0,412.0,390.2,398.0,16906,-5.03,6727166.8
AHL,2023-04-04,399.0,407.9,388.0,393.6,5547,-1.11,2197591.3
AHL,2023-04-05,390.0,408.9,388.2,408.9,7492,3.89,2996571.0
AHL,2023-04-06,403.0,411.0,401.0,407.0,5440,-0.46,2205475.5
AHL,2023-04-09,400.1,402.0,390.1,392.0,5680,-3.69,2242547.0
AHL,2023-04-10,385.1,406.0,382.7,398.9,5370,1.76,2089464.1
AHL,2023-04-11,391.0,399.0,390.0,398.0,3836,-0.23,1513311.0
AHL,2023-04-12,405.0,417.9,391.1,417.9,6880,5.0,2818297.2
AHL,2023-04-13,415.0,434.0,402.2,434.0,7351,3.85,3023348.5
AHL,2023-04-16,425.4,430.0,400.0,400.0,19740,-7.83,8082087.0
AHL,2023-04-17,398.0,400.0,392.3,400.0,3120,0.0,1234922.0
AHL,2023-04-18,392.0,398.0,386.0,396.5,2600,-0.88,1024715.0
AHL,2023-04-19,395.0,399.8,392.0,397.0,1840,0.13,728255.0
AHL,2023-04-20,404.9,404.9,385.0,394.0,6555,-0.76,2555631.0
AHL,2023-04-23,386.2,390.0,375.1,376.0,4040,-4.57,1536140.3
AHL,2023-04-24,370.0,380.0,367.1,378.0,3151,0.53,1176905.8
AHL,2023-04-25,370.6,382.0,360.9,379.0,7262,0.26,2696263.6
AHL,2023-04-26,383.0,385.0,371.5,376.0,3490,-0.79,1305532.0
AHL,2023-04-27,380.0,380.0,365.2,374.0,6634,-0.53,2439882.0
AHL,2023-04-30,366.8,375.0,352.0,359.0,10243,-4.01,3694226.0
AHL,2023-05-02,366.0,369.0,347.1,369.0,3222,2.79,1135850.2
