symbol,date,open,high,low,close,volume,percent_change,traded_amount
CHCL,2021-08-31,685.4,685.4,650.0,655.0,83851,-2.53,55084086.2
CHCL,2021-09-01,668.0,668.0,648.0,650.0,55683,-0.76,36459799.6
CHCL,2021-09-02,650.0,655.0,625.0,626.0,110824,-3.69,70339049.1
CHCL,2021-09-05,615.0,624.0,591.0,600.0,96927,-4.15,58380342.1
CHCL,2021-09-06,600.0,645.0,597.0,640.0,86968,6.67,53745278.4
CHCL,2021-09-07,652.0,652.0,615.0,623.0,93188,-2.66,58056855.1
CHCL,2021-09-08,630.0,630.0,600.8,609.0,46000,-2.25,27986579.9
CHCL,2021-09-09,611.0,620.0,606.0,610.0,37572,0.16,23002603.7
CHCL,2021-09-12,622.0,646.6,613.0,636.0,67036,4.26,42322750.3
CHCL,2021-09-13,647.9,648.0,625.0,630.1,57962,-0.93,36983575.0
CHCL,2021-09-14,635.0,635.0,620.0,626.0,21742,-0.65,13614637.5
CHCL,2021-09-15,618.1,623.0,611.1,615.0,25780,-1.76,15849162.5
CHCL,2021-09-16,610.0,610.1,597.0,603.0,70869,-1.95,42537906.2
CHCL,2021-09-20,600.0,602.0,575.0,575.0,69077,-4.64,40313498.1
CHCL,2021-09-21,586.5,610.0,542.1,591.0,49291,2.78,28494756.6
CHCL,2021-09-22,591.0,614.0,591.0,603.0,33535,2.03,20190837.7
CHCL,2021-09-23,610.0,614.0,589.0,590.0,43050,-2.16,25711164.0
CHCL,2021-09-26,601.0,601.0,578.0,578.0,28667,-2.03,16721084.9
CHCL,2021-09-27,589.5,613.0,560.0,565.0,36760,-2.25,21091536.9
CHCL,2021-09-28,570.0,570.0,551.0,551.0,42330,-2.48,23514601.2
CHCL,2021-09-29,551.0,570.1,547.0,566.0,28548,2.72,15971458.8
CHCL,2021-09-30,577.3,577.3,554.0,558.0,21864,-1.41,12279493.1
CHCL,2021-10-03,549.0,564.0,544.0,545.0,37388,-2.33,20570293.9
CHCL,2021-10-04,545.0,554.0,535.0,540.2,19831,-0.88,10782217.9
CHCL,2021-10-05,548.0,549.0,538.1,547.0,28604,1.26,15542489.7
CHCL,2021-10-06,557.0,573.2,550.0,572.1,23452,4.59,13218965.3
CHCL,2021-10-10,582.0,629.0,570.0,604.0,57047,5.58,33704126.0
CHCL,2021-10-11,616.0,649.0,590.0,602.0,41907,-0.33,25278792.8
CHCL,2021-10-17,602.0,610.0,590.0,603.0,14255,0.17,8577364.4
CHCL,2021-10-18,591.0,604.0,585.0,596.0,18290,-1.16,10838735.1
CHCL,2021-10-19,587.0,587.0,552.0,552.0,67622,-7.38,37935016.9
CHCL,2021-10-20,563.0,575.0,563.0,570.0,25177,3.26,14329424.7
CHCL,2021-10-21,579.0,580.0,554.0,568.0,15741,-0.35,8922385.3
