symbol,date,open,high,low,close,volume,percent_change,traded_amount
NABIL,2021-08-31,1433.0,1433.0,1402.0,1419.0,126285,-0.98,178799141.5
NABIL,2021-09-01,1435.0,1446.0,1408.0,1420.0,124665,0.07,177400692.5
NABIL,2021-09-02,1420.5,1440.0,1414.0,1418.0,105395,-0.14,149553931.0
NABIL,2021-09-05,1420.0,1420.0,1372.0,1388.0,177307,-2.12,246544579.6
NABIL,2021-09-06,1390.0,1445.0,1380.0,1442.0,134284,3.89,190642503.8
NABIL,2021-09-07,1455.0,1470.0,1419.0,1429.9,79191,-0.84,113607001.3
NABIL,2021-09-08,1429.9,1430.0,1404.0,1415.0,59583,-1.04,84171412.7
NABIL,2021-09-09,1410.0,1420.0,1410.0,1410.0,70348,-0.35,99403841.1
NABIL,2021-09-12,1415.0,1447.0,1410.0,1440.0,75225,2.13,107395777.5
NABIL,2021-09-13,1468.8,1482.0,1440.0,1455.0,210616,1.04,307356782.3
NABIL,2021-09-14,1473.0,1473.0,1445.0,1453.0,46726,-0.14,68300810.8
NABIL,2021-09-15,1470.0,1470.0,1440.0,1445.0,37192,-0.55,53826948.5
NABIL,2021-09-16,1430.0,1440.0,1408.0,1424.5,108701,-1.42,154238803.7
NABIL,2021-09-20,1432.0,1440.0,1380.0,1393.0,132043,-2.21,184440763.7
NABIL,2021-09-21,1393.0,1415.0,1345.0,1389.0,148677,-0.29,205606794.6
NABIL,2021-09-22,1415.0,1425.0,1400.0,1424.4,79284,2.55,111996296.9
NABIL,2021-09-23,1441.1,1455.0,1430.0,1438.0,136670,0.95,197580382.7
NABIL,2021-09-26,1450.0,1465.0,1427.0,1431.0,116113,-0.49,167255276.4
NABIL,2021-09-27,1435.0,1435.0,1403.0,1415.0,47830,-1.12,67613766.6
NABIL,2021-09-28,1415.0,1415.0,1380.0,1395.0,86659,-1.41,120745318.6
NABIL,2021-09-29,1420.0,1420.0,1379.0,1408.0,58596,0.93,81901279.3
NABIL,2021-09-30,1413.0,1419.0,1401.0,1407.0,47037,-0.07,66324708.4
NABIL,2021-10-03,1429.9,1429.9,1393.0,1395.0,55819,-0.85,78068846.3
NABIL,2021-10-04,1392.0,1407.0,1370.0,1397.0,60200,0.14,83897360.6
NABIL,2021-10-05,1410.0,1410.0,1394.0,1410.0,44358,0.93,62216475.8
