symbol,date,open,high,low,close,volume,percent_change,traded_amount
NICA,2021-08-31,938.0,938.0,903.0,914.0,159777,-0.65,145836118.5
NICA,2021-09-01,920.0,927.0,905.1,912.0,104201,-0.22,95293840.6
NICA,2021-09-02,912.0,918.0,898.0,905.5,127440,-0.71,115410920.2
NICA,2021-09-05,905.6,905.6,876.0,893.0,130256,-1.38,115898506.1
NICA,2021-09-06,880.0,937.0,880.0,929.0,218544,4.03,198134536.8
NICA,2021-09-07,939.0,939.0,895.0,907.0,97523,-2.37,88439398.2
NICA,2021-09-08,907.0,907.0,885.0,895.0,104324,-1.32,92806736.7
NICA,2021-09-09,900.0,901.0,885.0,891.0,93559,-0.45,83509331.1
NICA,2021-09-12,900.0,907.0,880.2,906.0,130358,1.68,116607909.6
NICA,2021-09-13,923.0,955.0,907.0,927.0,299759,2.32,277871504.6
NICA,2021-09-14,943.0,943.0,918.3,919.1,168837,-0.85,157326567.2
NICA,2021-09-15,920.0,924.0,903.0,912.0,96697,-0.77,88062455.2
NICA,2021-09-16,930.2,930.2,890.1,897.0,161004,-1.64,144001114.9
NICA,2021-09-20,897.1,897.1,875.0,875.1,171670,-2.44,151067766.3
NICA,2021-09-21,858.0,887.0,850.0,870.0,173627,-0.58,151015955.1
NICA,2021-09-22,887.0,899.0,881.0,890.0,72519,2.3,64485530.5
NICA,2021-09-23,907.8,915.0,887.0,902.0,218766,1.35,196539332.0
NICA,2021-09-26,920.0,920.0,882.0,884.0,93082,-2.0,82935286.8
NICA,2021-09-27,884.0,890.0,866.0,870.0,66203,-1.58,57630425.7
NICA,2021-09-28,865.0,880.0,851.0,859.0,169341,-1.26,145471114.6
NICA,2021-09-29,872.1,872.1,845.0,865.0,89368,0.7,76406583.0
NICA,2021-09-30,865.0,872.1,848.0,862.9,82748,-0.24,70901318.7
NICA,2021-10-03,850.1,860.0,844.0,849.1,88933,-1.6,75541858.0
NICA,2021-10-04,849.1,858.0,833.0,850.0,94801,0.11,80190532.4
NICA,2021-10-05,850.0,854.9,842.0,850.0,39369,0.0,33449585.5
NICA,2021-10-06,855.0,865.0,848.0,858.0,54341,0.94,46570040.5
NICA,2021-10-10,873.0,873.0,845.2,850.0,55797,-0.93,47629038.7
NICA,2021-10-11,850.0,850.0,833.5,840.0,40240,-1.18,33709578.6
NICA,2021-10-17,845.0,850.0,830.5,849.0,34196,1.07,28794111.3
NICA,2021-10-18,849.0,849.0,816.0,830.0,62559,-2.24,51815862.8
NICA,2021-10-19,818.0,819.0,785.0,791.0,110546,-4.7,88183538.7
NICA,2021-10-20,806.0,821.0,795.0,802.0,58775,1.39,47229004.6
NICA,2021-10-21,795.0,809.8,794.1,808.0,61630,0.75,49396317.2
NICA,2021-10-24,800.0,835.0,799.0,830.0,113978,2.72,93518834.0
NICA,2021-10-25,832.0,841.0,820.0,836.0,70258,0.72,58460911.0
NICA,2021-10-26,819.3,841.5,790.0,837.0,299356,0.12,245515360.9
NICA,2021-10-27,830.0,873.2,826.0,870.0,230090,3.94,196152010.9
NICA,2021-10-28,870.0,876.0,855.0,871.0,199592,0.11,172354595.5
NICA,2021-10-31,871.0,902.1,856.0,893.0,222689,2.53,197009125.6
NICA,2021-11-01,910.0,910.0,870.0,874.0,133727,-2.13,118720635.4
NICA,2021-11-02,890.0,890.0,865.0,869.0,62963,-0.57,54933045.2
NICA,2021-11-03,886.0,886.0,866.0,869.9,62379,0.1,54281106.6
NICA,2021-11-08,860.0,880.0,856.0,856.0,53173,-1.6,46062799.0
NICA,2021-11-09,860.0,860.0,830.0,839.0,100951,-1.99,84606433.9
NICA,2021-11-11,825.1,841.5,824.0,824.0,60792,-1.79,50322602.8
NICA,2021-11-14,825.0,835.0,813.1,825.5,40711,0.18,33613694.6
NICA,2021-11-15,817.0,833.0,817.0,824.9,46501,-0.07,38379665.7
NICA,2021-11-16,825.0,870.0,820.0,870.0,104559,5.47,88602632.6
NICA,2021-11-17,880.0,897.0,862.0,875.0,143618,0.57,125718149.7
NICA,2021-11-18,874.0,874.0,845.9,854.0,86241,-2.4,73799771.5
NICA,2021-11-21,870.0,870.0,836.0,840.0,51751,-1.64,43475291.1
NICA,2021-11-22,855.0,860.0,832.1,850.0,38185,1.19,32333813.5
NICA,2021-11-23,850.0,856.0,825.0,836.0,64274,-1.65,53372258.0
NICA,2021-11-24,836.0,836.0,821.7,831.0,96252,-0.6,79467348.9
NICA,2021-11-25,825.0,843.0,825.0,842.0,81644,1.32,68455000.1
NICA,2021-11-28,835.0,835.0,813.0,817.0,66398,-2.97,54348808.4
NICA,2021-11-29,824.0,825.0,797.0,800.0,73172,-2.08,59002359.8
NICA,2021-11-30,813.8,813.8,790.0,810.0,94516,1.25,75387304.7
NICA,2021-12-01,800.0,822.0,800.0,804.8,25231,-0.64,20342583.8
NICA,2021-12-02,805.0,805.0,780.0,788.0,114952,-2.09,90738112.7
NICA,2021-12-05,785.0,785.0,758.6,765.0,73387,-2.92,56446886.2
NICA,2021-12-06,760.0,787.0,745.0,787.0,68582,2.88,52360864.2
NICA,2021-12-07,790.0,795.2,765.0,766.0,48358,-2.67,37532023.9
NICA,2021-12-08,760.0,760.0,742.0,749.0,45768,-2.22,34233274.4
NICA,2021-12-09,746.0,756.0,740.0,742.6,50635,-0.85,37739128.1
NICA,2021-12-12,748.0,748.0,722.0,725.0,53496,-2.37,38970096.6
NICA,2021-12-13,712.0,722.0,701.0,709.0,70526,-2.21,50097353.6
NICA,2021-12-14,723.0,739.5,716.0,739.5,18561,4.3,13500800.4
NICA,2021-12-15,754.0,767.0,725.0,732.0,69145,-1.01,50800581.5
NICA,2021-12-16,736.5,736.5,721.0,734.0,28600,0.27,20773760.7
NICA,2021-12-20,748.6,748.6,720.0,722.0,50222,-1.63,36349240.5
NICA,2021-12-21,735.0,736.0,722.0,731.2,30657,1.27,22326546.5
NICA,2021-12-22,745.0,756.0,735.0,752.0,54868,2.84,41121360.3
NICA,2021-12-23,767.0,767.0,749.0,760.0,53583,1.06,40522914.0
NICA,2021-12-26,765.0,775.0,760.0,769.9,70760,1.3,54269788.7
NICA,2021-12-27,770.0,774.0,744.0,744.0,65018,-3.36,49019615.4
NICA,2021-12-28,740.0,747.0,730.0,738.0,43607,-0.81,32180061.8
NICA,2021-12-29,726.1,744.0,725.0,740.0,77201,0.27,56817535.0
NICA,2022-01-02,754.8,773.0,730.0,769.0,73533,3.92,55902252.3
NICA,2022-01-03,769.0,788.4,765.0,784.0,78276,1.95,61074703.9
NICA,2022-01-04,790.0,813.7,772.0,807.8,79587,3.04,63193949.7
NICA,2022-01-05,819.9,819.9,792.0,795.0,78208,-1.58,62536250.3
NICA,2022-01-06,782.0,839.0,782.0,838.0,178781,5.41,145219148.4
NICA,2022-01-09,854.7,871.0,850.0,867.1,162594,3.47,139935027.2
NICA,2022-01-10,870.0,879.0,852.0,860.0,160045,-0.82,138215461.9
NICA,2022-01-11,870.0,872.0,855.0,864.5,83864,0.52,72545031.1
NICA,2022-01-12,870.0,889.5,863.0,866.0,170915,0.17,149127990.5
NICA,2022-01-13,868.0,890.0,861.0,880.5,94487,1.67,83119715.4
NICA,2022-01-16,895.0,912.0,882.0,900.0,137916,2.21,123808949.3
NICA,2022-01-17,918.0,918.0,893.0,898.0,111345,-0.22,100031851.4
NICA,2022-01-18,900.0,927.0,899.0,914.0,207182,1.78,190108363.6
NICA,2022-01-19,932.2,932.2,910.0,912.0,145505,-0.22,133370636.5
NICA,2022-01-20,912.0,920.0,901.6,917.0,116652,0.55,106404141.5
NICA,2022-01-23,935.0,935.3,899.0,903.0,191997,-1.53,175263196.5
NICA,2022-01-24,900.0,900.0,866.0,866.2,419335,-4.08,367364527.5
NICA,2022-01-25,850.0,883.0,845.2,867.0,227148,0.09,196874184.1
NICA,2022-01-26,868.0,873.0,856.0,860.0,109049,-0.81,93917145.7
NICA,2022-01-27,861.0,869.9,856.0,859.6,56260,-0.05,48363360.9
NICA,2022-01-30,876.7,888.0,872.0,883.0,99204,2.72,87055768.7
NICA,2022-01-31,890.0,890.0,870.1,872.0,65157,-1.25,57041932.3
NICA,2022-02-01,875.0,883.0,865.0,870.0,58118,-0.23,50707160.6
NICA,2022-02-03,870.0,877.0,860.0,860.4,150826,-1.1,130653042.5
NICA,2022-02-06,856.0,860.0,845.0,853.0,72123,-0.86,61459588.4
NICA,2022-02-07,853.0,858.0,839.0,843.0,59770,-1.17,50503450.3
NICA,2022-02-08,855.0,872.0,826.0,837.0,86778,-0.71,72856295.0
NICA,2022-02-09,840.0,840.0,821.0,828.0,87317,-1.08,72331456.2
NICA,2022-02-10,830.0,839.0,814.0,818.0,95660,-1.21,78333501.4
NICA,2022-02-13,802.0,811.0,789.0,807.0,180844,-1.34,144338091.7
NICA,2022-02-14,811.0,814.0,798.0,805.0,65371,-0.25,52459382.0
NICA,2022-02-15,805.0,810.0,802.0,805.0,45673,0.0,36821646.3
NICA,2022-02-16,806.0,815.0,803.0,807.0,43171,0.25,34835752.9
NICA,2022-02-17,805.0,816.0,804.0,816.0,55936,1.12,45273568.4
NICA,2022-02-20,799.7,812.0,790.0,803.1,58816,-1.58,47104309.4
NICA,2022-02-21,808.0,810.0,798.0,806.1,30102,0.37,24132081.9
NICA,2022-02-22,806.0,815.0,802.0,808.0,37501,0.24,30314745.8
NICA,2022-02-23,810.0,810.0,801.0,804.0,26347,-0.5,21165563.7
NICA,2022-02-24,804.0,804.0,785.0,790.0,62153,-1.74,49201909.5
NICA,2022-02-27,790.0,800.0,777.7,783.0,94586,-0.89,74506582.6
NICA,2022-02-28,798.0,798.0,771.0,773.0,55256,-1.28,42992657.9
NICA,2022-03-02,770.0,775.0,760.0,762.0,76482,-1.42,58353262.4
NICA,2022-03-06,777.2,785.0,755.0,768.0,36346,0.79,27808137.4
NICA,2022-03-07,770.0,774.9,747.0,774.0,138577,0.78,105027582.7
NICA,2022-03-09,785.0,785.0,750.0,760.0,138776,-1.81,104851922.1
NICA,2022-03-10,760.0,762.0,747.0,758.0,165638,-0.26,124611575.7
NICA,2022-03-13,769.0,790.0,758.0,782.0,93422,3.17,72246417.7
NICA,2022-03-14,785.0,789.0,770.0,778.0,29363,-0.51,22858634.1
NICA,2022-03-15,780.0,781.0,770.0,772.0,50282,-0.77,38972617.4
NICA,2022-03-16,772.0,778.0,765.0,768.0,46676,-0.52,35928971.2
NICA,2022-03-20,776.0,776.0,764.0,770.0,42001,0.26,32221338.6
NICA,2022-03-21,775.0,780.0,762.0,773.0,47286,0.39,36280037.9
NICA,2022-03-22,770.0,785.0,770.0,779.9,41446,0.89,32251559.7
NICA,2022-03-23,780.0,785.0,773.0,785.0,108697,0.65,84194639.2
NICA,2022-03-24,780.0,790.0,769.3,780.0,67523,-0.64,52208122.2
NICA,2022-03-27,780.0,790.0,766.0,766.0,67429,-1.79,52056815.8
NICA,2022-03-28,761.0,765.0,755.0,759.9,37146,-0.8,28229612.7
NICA,2022-03-29,756.0,765.0,754.0,757.0,40516,-0.38,30680927.4
NICA,2022-03-30,758.0,770.0,757.0,767.0,29760,1.32,22669073.0
NICA,2022-03-31,772.0,772.0,755.0,764.0,39695,-0.39,30287300.6
NICA,2022-04-03,770.0,778.0,756.2,761.9,18189,-0.27,13822827.5
