symbol,date,open,high,low,close,volume,percent_change,traded_amount
NRIC,2021-08-31,1564.6,1564.6,1491.0,1492.9,138704,-2.68,208452999.9
NRIC,2021-09-01,1500.0,1519.0,1475.2,1483.0,100907,-0.66,150965373.2
NRIC,2021-09-02,1505.0,1519.0,1445.0,1452.0,107898,-2.09,158537737.7
NRIC,2021-09-05,1481.0,1481.0,1395.0,1402.0,126717,-3.44,179134395.5
NRIC,2021-09-06,1402.0,1494.0,1390.0,1494.0,99426,6.56,142974731.5
NRIC,2021-09-07,1523.8,1523.8,1439.0,1469.0,67984,-1.67,99351019.0
NRIC,2021-09-08,1498.3,1498.3,1425.0,1437.0,85537,-2.18,123416791.2
NRIC,2021-09-09,1465.7,1465.7,1431.0,1435.0,53947,-0.14,77799452.2
NRIC,2021-09-12,1463.7,1490.0,1440.0,1445.1,65289,0.7,95005509.9
NRIC,2021-09-13,1474.0,1474.0,1435.1,1436.0,56469,-0.63,81728630.0
NRIC,2021-09-14,1460.0,1460.0,1430.0,1440.0,33867,0.28,48632598.2
NRIC,2021-09-15,1440.0,1445.0,1417.0,1421.0,43542,-1.32,62090755.1
NRIC,2021-09-16,1421.0,1421.0,1381.0,1390.1,89722,-2.17,125001821.1
NRIC,2021-09-20,1417.9,1417.9,1335.0,1336.0,92316,-3.89,124743624.7
NRIC,2021-09-21,1336.0,1390.0,1310.1,1344.0,85491,0.6,114741981.4
NRIC,2021-09-22,1370.0,1391.0,1355.0,1383.5,58289,2.94,80223059.1
NRIC,2021-09-23,1400.0,1415.0,1350.0,1358.0,61506,-1.84,85002342.6
NRIC,2021-09-26,1378.0,1378.0,1330.0,1332.0,49820,-1.91,66814328.0
NRIC,2021-09-27,1354.0,1354.0,1290.0,1302.0,69557,-2.25,90414259.7
NRIC,2021-09-28,1302.0,1310.0,1253.0,1261.0,75133,-3.15,96135267.5
NRIC,2021-09-29,1278.0,1300.0,1236.0,1285.0,52233,1.9,66206775.1
NRIC,2021-09-30,1290.0,1350.0,1284.0,1316.0,71229,2.41,94035837.0
NRIC,2021-10-03,1342.3,1342.3,1284.0,1288.0,47453,-2.13,61711851.1
NRIC,2021-10-04,1282.3,1307.5,1264.0,1294.0,39146,0.47,50473910.8
NRIC,2021-10-05,1278.0,1320.0,1278.0,1315.0,41043,1.62,53576395.2
NRIC,2021-10-06,1325.0,1340.0,1300.0,1329.9,44312,1.13,58660411.9
NRIC,2021-10-10,1347.0,1348.0,1298.0,1305.0,32768,-1.87,43171202.3
NRIC,2021-10-11,1329.0,1329.0,1275.0,1280.0,47550,-1.92,61135691.2
