symbol,date,open,high,low,close,volume,percent_change,traded_amount
NTC,2021-08-31,1171.0,1190.0,1118.0,1130.0,50419,-3.5,57295413.1
NTC,2021-09-01,1152.0,1164.0,1105.0,1135.0,53036,0.44,59861442.0
NTC,2021-09-02,1157.0,1157.0,1100.0,1114.0,40684,-1.85,45126802.5
NTC,2021-09-05,1111.9,1111.9,1030.0,1055.0,30398,-5.3,32495562.4
NTC,2021-09-06,1055.0,1160.5,1055.0,1160.5,33918,10.0,37406485.0
NTC,2021-09-07,1183.7,1199.0,1125.0,1199.0,25346,3.32,29065355.2
NTC,2021-09-08,1201.0,1201.0,1136.8,1150.0,13919,-4.09,15999443.7
NTC,2021-09-09,1150.0,1172.0,1118.2,1121.0,13682,-2.52,15473241.6
NTC,2021-09-12,1143.4,1166.2,1120.0,1135.0,11001,1.25,12421378.9
NTC,2021-09-13,1135.0,1149.0,1119.0,1130.0,10983,-0.44,12390361.1
NTC,2021-09-14,1151.0,1151.0,1110.0,1119.0,13499,-0.97,15119278.3
NTC,2021-09-15,1125.0,1125.0,1103.0,1113.0,6585,-0.54,7313532.0
NTC,2021-09-16,1100.0,1105.0,1075.0,1099.0,19407,-1.26,21206173.0
NTC,2021-09-20,1110.0,1111.0,1040.0,1055.0,18690,-4.0,19983085.0
NTC,2021-09-21,1055.0,1080.0,995.0,1065.0,18605,0.95,19263665.5
NTC,2021-09-22,1086.3,1100.0,1078.0,1085.0,10750,1.88,11688388.5
NTC,2021-09-23,1098.0,1098.0,1064.0,1070.0,23349,-1.38,25098626.5
NTC,2021-09-26,1060.0,1062.0,1037.0,1037.0,10210,-3.08,10696655.7
NTC,2021-09-27,1035.0,1035.0,999.0,1005.9,18207,-3.0,18301812.1
NTC,2021-09-28,1006.0,1008.0,990.0,999.0,12032,-0.69,11986782.5
NTC,2021-09-29,1015.0,1030.0,986.0,1029.0,24816,3.0,24838511.9
NTC,2021-09-30,1048.0,1048.0,1010.0,1014.0,14541,-1.46,14798178.0
NTC,2021-10-03,1027.0,1027.0,995.0,995.0,11247,-1.87,11247711.5
NTC,2021-10-04,985.0,1015.0,980.1,1015.0,19506,2.01,19498842.9
NTC,2021-10-05,1015.0,1015.0,997.1,1013.0,6483,-0.2,6547628.0
NTC,2021-10-06,1029.0,1045.0,1010.0,1039.0,7816,2.57,8020022.9
NTC,2021-10-10,1039.0,1059.0,1012.0,1015.0,13227,-2.31,13638539.1
NTC,2021-10-11,1035.0,1035.0,979.0,990.0,28124,-2.46,27848157.0
NTC,2021-10-17,1008.0,1023.0,995.0,1022.0,18184,3.23,18246830.1
NTC,2021-10-18,1002.0,1022.0,1000.0,1000.0,9217,-2.15,9238043.5
NTC,2021-10-19,990.0,995.0,972.0,995.0,13873,-0.5,13633088.5
NTC,2021-10-20,1014.0,1054.0,1012.4,1054.0,32782,5.93,33947139.2
NTC,2021-10-21,1055.0,1095.0,1039.0,1085.0,26185,2.94,28066318.2
NTC,2021-10-24,1100.0,1160.0,1061.0,1150.0,46133,5.99,52063231.6
NTC,2021-10-25,1155.0,1178.0,1135.1,1178.0,30780,2.43,35475929.4
NTC,2021-10-26,1160.0,1190.0,1157.0,1180.0,21999,0.17,25813422.7
NTC,2021-10-27,1180.0,1208.7,1161.0,1178.0,53712,-0.17,63588826.1
NTC,2021-10-28,1174.0,1232.0,1161.2,1225.0,79067,3.99,95541838.4
NTC,2021-10-31,1225.0,1244.0,1205.0,1215.0,26240,-0.82,32133950.3
NTC,2021-11-01,1234.0,1235.0,1180.0,1200.0,21103,-1.23,25217831.0
NTC,2021-11-02,1178.0,1214.0,1155.2,1200.0,17740,0.0,21223106.7
NTC,2021-11-03,1224.0,1225.0,1182.0,1199.0,20534,-0.08,24728699.2
NTC,2021-11-08,1202.0,1220.0,1176.0,1200.0,15470,0.08,18488253.7
NTC,2021-11-09,1200.0,1200.0,1142.8,1157.0,24952,-3.58,28951572.8
NTC,2021-11-11,1156.0,1169.0,1124.0,1124.0,14790,-2.85,16827338.1
NTC,2021-11-14,1125.0,1183.0,1111.0,1160.0,11973,3.2,13670532.2
NTC,2021-11-15,1170.0,1183.2,1157.0,1161.0,20746,0.09,24256810.0
NTC,2021-11-16,1184.0,1277.1,1176.5,1277.1,131647,10.0,164339249.9
NTC,2021-11-17,1302.6,1404.8,1302.6,1390.0,426090,8.84,586862955.9
NTC,2021-11-18,1395.0,1457.5,1355.0,1438.0,429788,3.45,604455412.9
NTC,2021-11-21,1438.0,1438.0,1380.0,1395.5,161903,-2.96,226238338.6
NTC,2021-11-22,1411.0,1438.0,1375.0,1420.2,206052,1.77,291867406.4
NTC,2021-11-23,1402.0,1470.0,1402.0,1457.0,287027,2.59,415724063.2
NTC,2021-11-24,1486.1,1486.1,1431.0,1465.0,180214,0.55,261556834.8
NTC,2021-11-25,1450.0,1495.0,1450.0,1484.0,179849,1.3,265713736.3
NTC,2021-11-28,1454.4,1465.0,1390.0,1409.0,133771,-5.05,190468569.8
NTC,2021-11-29,1408.0,1430.0,1372.0,1380.0,71287,-2.06,99545445.7
NTC,2021-11-30,1400.0,1400.0,1351.0,1393.0,38412,0.94,52794220.6
NTC,2021-12-01,1393.0,1440.0,1377.0,1426.0,103022,2.37,145393099.0
NTC,2021-12-02,1439.0,1439.0,1365.6,1384.8,70998,-2.89,98647044.4
NTC,2021-12-05,1385.0,1385.0,1310.0,1329.0,126212,-4.03,166894915.5
NTC,2021-12-06,1302.5,1371.0,1302.5,1362.0,104627,2.48,139261193.3
NTC,2021-12-07,1362.0,1389.2,1320.0,1326.0,61755,-2.64,83521492.0
NTC,2021-12-08,1326.0,1328.0,1298.6,1298.7,83342,-2.06,109115348.7
NTC,2021-12-09,1272.8,1321.9,1272.8,1306.0,56658,0.56,73783480.0
NTC,2021-12-12,1301.0,1302.0,1257.0,1259.0,38683,-3.6,49292602.9
