symbol,date,open,high,low,close,volume,percent_change,traded_amount
SBL,2021-08-31,509.0,524.0,505.5,511.0,342803,-1.54,175306420.8
SBL,2021-09-01,515.0,522.0,506.1,514.0,210317,0.59,108578916.7
SBL,2021-09-02,520.0,520.0,504.2,505.0,137840,-1.75,70289733.3
SBL,2021-09-05,505.0,514.0,488.0,503.0,250689,-0.4,124845558.2
SBL,2021-09-06,500.0,534.0,495.1,533.0,320462,5.96,164689101.5
SBL,2021-09-07,535.0,537.0,512.6,520.0,146047,-2.44,76143305.0
SBL,2021-09-08,510.5,517.0,505.0,508.0,90813,-2.31,46191141.6
SBL,2021-09-09,512.0,512.0,501.0,503.0,91897,-0.98,46384736.9
SBL,2021-09-12,505.0,515.0,499.0,513.0,112861,1.99,57361411.1
SBL,2021-09-13,516.0,527.2,510.0,516.7,129696,0.72,67328361.7
SBL,2021-09-14,518.0,518.0,510.0,517.9,76287,0.23,39233883.3
SBL,2021-09-15,518.0,518.0,504.1,506.2,59452,-2.26,30218866.1
SBL,2021-09-16,503.1,503.1,488.0,495.0,188223,-2.21,93023758.3
SBL,2021-09-20,500.0,500.0,485.1,487.0,142479,-1.62,69384833.1
SBL,2021-09-21,482.0,500.0,478.2,485.0,147758,-0.41,71862068.9
SBL,2021-09-22,494.7,506.1,490.0,504.0,115775,3.92,57889954.4
SBL,2021-09-23,510.0,535.0,510.0,518.0,251321,2.78,131341642.3
SBL,2021-09-26,528.0,528.0,508.0,508.0,110697,-1.93,56853430.8
SBL,2021-09-27,510.0,510.0,494.0,499.2,95179,-1.73,47295304.8
SBL,2021-09-28,490.0,499.0,483.2,483.2,80620,-3.21,39470171.9
SBL,2021-09-29,476.0,492.8,475.2,487.0,164689,0.79,79384167.9
SBL,2021-09-30,490.0,490.0,477.0,479.0,96070,-1.64,46283569.0
SBL,2021-10-03,488.0,488.5,471.1,473.0,78759,-1.25,37451650.0
SBL,2021-10-04,473.0,478.0,469.0,470.0,74701,-0.63,35215205.6
SBL,2021-10-05,470.0,475.0,464.0,467.3,94017,-0.57,44043979.6
SBL,2021-10-06,467.3,474.1,461.1,467.7,129361,0.09,60642707.2
SBL,2021-10-10,477.0,486.5,461.7,467.0,105291,-0.15,49532995.1
SBL,2021-10-11,460.0,470.0,449.0,459.0,135768,-1.71,61625052.4
SBL,2021-10-17,468.1,468.1,450.0,459.0,84303,0.0,38369907.7
SBL,2021-10-18,450.1,459.0,443.0,444.0,87817,-3.27,39246962.9
SBL,2021-10-19,437.0,442.0,432.0,434.0,84447,-2.25,36796842.1
