symbol,date,open,high,low,close,volume,percent_change,traded_amount
UPPER,2021-08-31,750.0,760.0,730.0,732.0,158788,-3.03,117830370.6
UPPER,2021-09-01,740.0,750.0,725.0,729.0,151321,-0.41,111386109.9
UPPER,2021-09-02,735.0,735.0,700.0,702.0,168965,-3.7,120697414.9
UPPER,2021-09-05,700.0,710.0,660.0,678.0,231715,-3.42,158256734.3
UPPER,2021-09-06,685.0,745.8,678.0,745.8,346298,10.0,249248542.1
UPPER,2021-09-07,760.0,774.0,712.0,739.0,153413,-0.91,114387508.9
UPPER,2021-09-08,739.0,740.0,715.0,720.0,92899,-2.57,67308548.1
UPPER,2021-09-09,720.0,730.0,708.0,715.0,105332,-0.69,75461416.8
UPPER,2021-09-12,729.0,786.5,729.0,774.0,335227,8.25,257213174.6
UPPER,2021-09-13,789.0,803.9,746.0,751.0,225797,-2.97,172689417.4
UPPER,2021-09-14,736.0,770.0,736.0,748.0,78771,-0.4,58938468.8
UPPER,2021-09-15,734.0,748.0,719.0,727.0,118218,-2.81,86167154.7
UPPER,2021-09-16,727.0,727.0,693.0,699.0,222244,-3.85,155803969.4
UPPER,2021-09-20,710.0,710.0,664.5,668.0,174169,-4.43,118130822.7
UPPER,2021-09-21,660.0,691.0,636.0,668.0,188315,0.0,124671662.9
UPPER,2021-09-22,681.3,705.0,681.0,693.0,93242,3.74,64704907.0
UPPER,2021-09-23,699.0,712.0,671.0,677.0,109461,-2.31,74755660.2
UPPER,2021-09-26,678.0,679.0,650.0,651.0,116502,-3.84,76718464.9
UPPER,2021-09-27,664.0,688.5,645.0,650.0,124786,-0.15,82198397.1
UPPER,2021-09-28,640.0,659.8,625.0,625.0,129954,-3.85,82500091.7
UPPER,2021-09-29,625.0,643.0,615.0,636.0,98388,1.76,61946919.0
UPPER,2021-09-30,647.9,648.0,617.4,618.9,75484,-2.69,47374226.9
UPPER,2021-10-03,625.0,627.0,595.0,597.0,84606,-3.54,51486991.9
UPPER,2021-10-04,597.0,600.0,575.0,577.0,89620,-3.35,52376194.0
UPPER,2021-10-05,580.0,597.0,573.0,592.0,51718,2.6,30564134.4
UPPER,2021-10-06,595.0,624.0,595.0,620.0,66171,4.73,40663347.8
UPPER,2021-10-10,632.0,644.0,603.1,607.1,46901,-2.08,28998715.3
UPPER,2021-10-11,615.0,615.0,595.1,605.0,51447,-0.35,30920901.3
UPPER,2021-10-17,617.1,617.1,598.0,603.0,21283,-0.33,12791098.7
UPPER,2021-10-18,595.0,600.0,578.0,581.0,48699,-3.65,28568824.6
UPPER,2021-10-19,575.0,577.0,550.1,558.0,63684,-3.96,35667370.7
UPPER,2021-10-20,569.1,580.4,560.0,576.6,45457,3.33,26031913.5
UPPER,2021-10-21,567.0,578.6,556.0,557.0,40495,-3.4,22837235.5
UPPER,2021-10-24,564.0,575.0,555.0,564.0,49683,1.26,28038528.7
UPPER,2021-10-25,560.0,613.0,555.0,610.0,74705,8.16,43930185.6
UPPER,2021-10-26,615.0,634.0,606.0,625.0,92682,2.46,57791209.2
UPPER,2021-10-27,637.0,637.0,601.0,611.0,72263,-2.24,44657168.8
UPPER,2021-10-28,598.9,620.0,598.9,613.0,60408,0.33,37003334.1
UPPER,2021-10-31,620.0,653.0,615.0,645.0,79360,5.22,50707355.6
UPPER,2021-11-01,645.0,654.0,615.0,622.0,102525,-3.57,64403120.3
UPPER,2021-11-02,622.0,623.5,601.0,619.0,53237,-0.48,32800138.6
UPPER,2021-11-03,631.0,643.0,615.0,622.0,75569,0.48,47117354.2
UPPER,2021-11-08,625.0,630.0,611.2,615.0,40577,-1.13,25158044.4
UPPER,2021-11-09,615.0,616.0,585.0,592.0,91101,-3.74,54299336.2
UPPER,2021-11-11,603.6,603.6,570.0,577.0,60730,-2.53,35237475.5
UPPER,2021-11-14,575.0,585.0,570.0,575.0,47504,-0.35,27475994.0
UPPER,2021-11-15,575.0,592.0,575.0,583.0,35728,1.39,20939902.2
UPPER,2021-11-16,585.0,641.3,585.0,641.3,56418,10.0,36178066.9
UPPER,2021-11-17,654.1,705.4,654.1,705.4,95049,10.0,67025148.5
UPPER,2021-11-18,719.5,748.0,672.1,679.0,567392,-3.74,395033175.5
UPPER,2021-11-21,690.0,702.0,670.4,692.0,221042,1.91,152538668.5
UPPER,2021-11-22,692.0,714.0,690.0,700.0,151848,1.16,106985512.0
UPPER,2021-11-23,700.0,704.0,676.2,686.0,103747,-2.0,71354961.2
UPPER,2021-11-24,686.0,695.0,670.0,688.0,105151,0.29,71748546.2
UPPER,2021-11-25,695.0,695.0,679.0,679.1,71470,-1.29,48920881.0
UPPER,2021-11-28,668.0,678.0,641.9,649.0,191620,-4.43,126263981.7
UPPER,2021-11-29,648.9,667.0,640.0,653.0,96812,0.62,63077198.1
UPPER,2021-11-30,654.0,665.0,638.0,645.0,78725,-1.23,51013818.7
UPPER,2021-12-01,657.0,665.0,640.0,642.0,54816,-0.47,35491996.4
UPPER,2021-12-02,650.0,650.0,627.0,628.0,74865,-2.18,47488575.3
UPPER,2021-12-05,625.0,626.0,599.0,602.5,106303,-4.06,64519393.0
UPPER,2021-12-06,590.5,634.0,581.0,625.0,188049,3.73,113604822.6
UPPER,2021-12-07,637.0,648.0,608.0,610.0,86639,-2.4,54477757.0
UPPER,2021-12-08,621.0,621.0,590.0,597.0,67266,-2.13,40488805.1
UPPER,2021-12-09,598.2,609.0,588.0,598.0,78599,0.17,47038574.0
UPPER,2021-12-12,593.0,595.0,577.0,577.1,97935,-3.49,57423138.5
UPPER,2021-12-13,565.6,580.0,555.0,566.0,119851,-1.92,67647436.7
UPPER,2021-12-14,577.0,610.0,567.0,609.0,57835,7.6,33937168.1
UPPER,2021-12-15,621.1,645.0,587.2,606.0,128496,-0.49,78505708.4
UPPER,2021-12-16,595.0,600.0,578.0,580.0,65758,-4.29,38675547.7
UPPER,2021-12-20,591.6,591.6,565.0,575.0,64214,-0.86,36824596.9
