symbol,date,open,high,low,close,volume,percent_change,traded_amount
VLBS,2021-08-31,1760.0,1760.0,1710.0,1713.0,5087,-4.3,8783742.9
VLBS,2021-09-01,1704.0,1740.0,1701.0,1725.0,2659,0.7,4581342.9
VLBS,2021-09-02,1691.2,1731.0,1691.2,1723.0,2581,-0.12,4410110.6
VLBS,2021-09-05,1705.0,1723.0,1632.0,1667.0,3406,-3.25,5632826.6
VLBS,2021-09-06,1650.0,1732.0,1650.0,1730.0,5401,3.78,9058925.4
VLBS,2021-09-07,1700.0,1745.0,1662.0,1691.0,1985,-2.25,3342006.0
VLBS,2021-09-08,1700.0,1700.0,1650.0,1660.0,1783,-1.83,2955440.6
VLBS,2021-09-09,1693.0,1693.0,1650.0,1678.0,2501,1.08,4193180.0
VLBS,2021-09-12,1666.0,1745.0,1666.0,1725.0,2756,2.8,4695422.0
VLBS,2021-09-13,1700.0,1706.0,1685.0,1685.0,1676,-2.32,2838032.2
VLBS,2021-09-14,1700.0,1700.0,1662.0,1690.0,1645,0.3,2754651.0
VLBS,2021-09-15,1680.0,1680.0,1657.0,1674.5,3441,-0.92,5718926.0
VLBS,2021-09-16,1674.0,1674.0,1600.0,1600.0,4894,-4.45,7941020.3
VLBS,2021-09-20,1600.0,1610.0,1515.0,1575.0,5713,-1.56,8880664.3
VLBS,2021-09-21,1550.0,1612.3,1520.0,1596.0,2595,1.33,4118036.5
VLBS,2021-09-22,1627.0,1649.0,1610.0,1630.0,659,2.13,1068240.7
VLBS,2021-09-23,1630.0,1655.0,1625.0,1625.0,3206,-0.31,5250061.0
VLBS,2021-09-26,1593.0,1622.0,1560.0,1566.3,862,-3.61,1357473.0
VLBS,2021-09-27,1550.0,1566.0,1515.0,1516.0,2424,-3.21,3703300.1
VLBS,2021-09-28,1516.0,1546.3,1487.0,1529.0,3539,0.86,5324800.4
VLBS,2021-09-29,1535.0,1560.0,1505.0,1560.0,1379,2.03,2110383.4
VLBS,2021-09-30,1589.9,1591.0,1499.0,1568.9,2738,0.57,4152230.0
VLBS,2021-10-03,1599.0,1599.0,1515.0,1520.0,1714,-3.12,2628333.0
VLBS,2021-10-04,1520.0,1555.0,1505.0,1540.0,839,1.32,1287419.0
VLBS,2021-10-05,1570.0,1630.9,1561.0,1613.6,1378,4.78,2197757.3
VLBS,2021-10-06,1645.0,1740.0,1645.0,1720.0,7953,6.59,13606040.0
VLBS,2021-10-10,1754.1,1789.0,1675.0,1690.0,1895,-1.74,3311157.0
VLBS,2021-10-11,1660.0,1660.0,1630.0,1640.0,1225,-2.96,2010937.0
VLBS,2021-10-17,1671.9,1671.9,1610.0,1669.9,1016,1.82,1650720.6
VLBS,2021-10-18,1636.7,1666.9,1548.0,1580.0,1749,-5.38,2744250.0
VLBS,2021-10-19,1550.0,1560.0,1442.0,1521.0,4325,-3.73,6493771.0
VLBS,2021-10-20,1525.0,1565.7,1522.0,1559.0,1370,2.5,2116978.0
VLBS,2021-10-21,1590.0,1590.0,1529.0,1546.0,460,-0.83,717811.3
VLBS,2021-10-24,1560.0,1560.0,1532.0,1541.0,2241,-0.32,3452425.7
VLBS,2021-10-25,1543.0,1613.6,1543.0,1590.0,3553,3.18,5548634.0
VLBS,2021-10-26,1605.0,1628.0,1605.0,1610.0,1808,1.26,2926493.0
VLBS,2021-10-27,1624.9,1665.0,1610.0,1610.0,3077,0.0,5063239.5
VLBS,2021-10-28,1610.0,1699.9,1600.0,1675.0,2867,4.04,4723417.7
VLBS,2021-10-31,1653.2,1750.0,1653.1,1703.2,4790,1.68,8196213.0
VLBS,2021-11-01,1737.2,1737.2,1670.0,1680.0,1799,-1.36,3081163.4
VLBS,2021-11-02,1650.5,1699.0,1648.0,1680.0,964,0.0,1626010.0
VLBS,2021-11-03,1713.0,1750.0,1690.0,1750.0,5306,4.17,9158523.5
VLBS,2021-11-08,1716.0,1716.0,1684.0,1685.0,665,-3.71,1127485.5
VLBS,2021-11-09,1667.0,1668.0,1602.0,1621.0,5599,-3.8,9124097.8
VLBS,2021-11-11,1590.0,1672.0,1589.0,1626.0,4620,0.31,7555660.0
VLBS,2021-11-14,1630.0,1691.6,1625.0,1650.0,1687,1.48,2765368.0
VLBS,2021-11-15,1682.0,1701.0,1655.0,1690.0,3879,2.42,6500077.2
VLBS,2021-11-16,1690.0,1690.0,1616.0,1650.0,7194,-2.37,11812950.4
VLBS,2021-11-17,1650.0,1749.0,1650.0,1675.0,5415,1.52,9168440.2
VLBS,2021-11-18,1680.0,1680.0,1630.0,1630.0,597,-2.69,985568.7
VLBS,2021-11-21,1613.0,1613.0,1603.0,1603.0,580,-1.66,931424.0
VLBS,2021-11-22,1591.0,1610.0,1590.0,1595.3,922,-0.48,1473764.0
VLBS,2021-11-23,1578.3,1582.1,1546.8,1546.8,3589,-3.04,5578048.7
VLBS,2021-11-24,1521.0,1570.0,1517.0,1559.5,780,0.82,1191484.5
VLBS,2021-11-25,1559.0,1559.0,1541.0,1541.0,742,-1.19,1149614.5
VLBS,2021-11-28,1511.0,1511.0,1470.0,1472.0,3271,-4.48,4854526.7
VLBS,2021-11-29,1448.0,1530.0,1448.0,1484.0,1344,0.82,1982148.8
VLBS,2021-11-30,1458.1,1508.8,1454.5,1508.8,1085,1.67,1612946.6
VLBS,2021-12-01,1480.0,1499.0,1479.0,1490.0,313,-1.25,464910.0
VLBS,2021-12-02,1470.0,1480.0,1460.3,1460.3,909,-1.99,1331295.3
VLBS,2021-12-05,1459.9,1460.0,1400.0,1404.1,1540,-3.85,2182870.9
VLBS,2021-12-06,1432.0,1432.0,1324.0,1398.0,2451,-0.43,3396098.3
VLBS,2021-12-07,1425.9,1452.9,1398.0,1410.0,425,0.86,606852.9
VLBS,2021-12-08,1430.0,1430.0,1355.0,1370.0,845,-2.84,1170400.0
VLBS,2021-12-09,1343.0,1395.0,1341.0,1395.0,778,1.82,1062205.2
VLBS,2021-12-12,1400.0,1400.0,1339.8,1339.8,467,-3.96,630194.3
VLBS,2021-12-13,1314.0,1314.0,1262.0,1275.0,2765,-4.84,3530646.9
VLBS,2021-12-14,1300.0,1379.5,1300.0,1356.0,778,6.35,1041297.1
VLBS,2021-12-15,1350.0,1399.3,1345.0,1370.0,1541,1.03,2107312.0
VLBS,2021-12-16,1350.0,1350.0,1320.0,1320.0,451,-3.65,599505.3
VLBS,2021-12-20,1320.0,1330.0,1315.0,1330.0,688,0.76,911545.8
VLBS,2021-12-21,1356.0,1382.0,1354.0,1380.0,1644,3.76,2257312.2
VLBS,2021-12-22,1407.6,1473.0,1407.6,1442.0,1894,4.49,2714562.6
VLBS,2021-12-23,1450.0,1480.0,1450.0,1476.0,881,2.36,1286268.0
VLBS,2021-12-26,1505.0,1540.0,1505.0,1527.0,4954,3.46,7538253.4
VLBS,2021-12-27,1297.6,1323.0,1266.0,1270.0,1599,-0.17,2067590.0
VLBS,2021-12-28,1270.0,1270.0,1247.0,1248.0,307,-1.73,384779.0
VLBS,2021-12-29,1248.0,1255.0,1240.0,1242.0,968,-0.48,1208122.0
VLBS,2022-01-02,1266.8,1347.0,1260.0,1270.0,1429,2.25,1825143.1
VLBS,2022-01-03,1290.0,1346.0,1290.0,1330.0,5810,4.72,7677097.3
VLBS,2022-01-04,1355.0,1400.0,1327.9,1385.0,4111,4.14,5646055.0
VLBS,2022-01-05,1399.0,1399.0,1322.0,1322.0,2333,-4.55,3109266.8
VLBS,2022-01-06,1330.0,1348.0,1330.0,1336.0,463,1.06,619090.0
VLBS,2022-01-09,1362.0,1389.2,1336.0,1351.0,2898,1.12,3936597.0
VLBS,2022-01-10,1350.0,1360.0,1336.0,1360.0,992,0.67,1335079.0
VLBS,2022-01-11,1360.0,1436.0,1350.0,1430.0,5970,5.15,8338865.0
VLBS,2022-01-12,1401.5,1487.7,1392.0,1392.0,6632,-2.66,9457836.4
VLBS,2022-01-13,1419.0,1455.0,1391.0,1455.0,2682,4.53,3831675.0
VLBS,2022-01-16,1484.0,1500.0,1468.1,1494.0,5080,2.68,7499111.4
VLBS,2022-01-17,1485.3,1499.0,1445.1,1480.0,3463,-0.94,5056459.5
VLBS,2022-01-18,1475.0,1475.0,1426.0,1459.0,2572,-1.42,3726387.0
VLBS,2022-01-19,1484.0,1484.0,1421.0,1427.0,1232,-2.19,1761928.0
VLBS,2022-01-20,1454.0,1454.0,1401.5,1447.0,1044,1.4,1482545.5
VLBS,2022-01-23,1453.5,1475.0,1421.2,1430.0,206,-1.17,295424.2
VLBS,2022-01-24,1410.0,1411.6,1381.0,1384.0,1750,-3.22,2427645.5
VLBS,2022-01-25,1357.0,1400.0,1357.0,1389.0,495,0.36,686197.0
VLBS,2022-01-26,1390.0,1390.0,1340.0,1355.2,725,-2.43,987458.7
VLBS,2022-01-27,1346.0,1359.0,1331.0,1331.0,755,-1.79,1015301.0
VLBS,2022-01-30,1357.6,1384.0,1357.6,1375.0,1388,3.31,1913047.0
VLBS,2022-01-31,1390.0,1402.0,1372.0,1400.0,376,1.82,520037.0
VLBS,2022-02-01,1400.0,1423.0,1375.0,1423.0,1681,1.64,2354652.4
VLBS,2022-02-03,1400.0,1445.0,1361.1,1395.0,1535,-1.97,2136157.0
VLBS,2022-02-06,1371.0,1375.0,1337.0,1360.0,2320,-2.51,3123766.2
VLBS,2022-02-07,1335.0,1375.0,1335.0,1375.0,338,1.1,458314.0
VLBS,2022-02-08,1398.5,1405.0,1350.0,1377.0,907,0.15,1242696.0
VLBS,2022-02-09,1350.0,1353.3,1349.6,1349.7,163,-1.98,220047.8
VLBS,2022-02-10,1350.0,1364.0,1331.0,1332.0,617,-1.31,829671.0
VLBS,2022-02-13,1329.0,1329.0,1260.0,1280.0,2048,-3.9,2606527.0
VLBS,2022-02-14,1280.0,1280.0,1255.0,1280.0,1495,0.0,1888590.0
VLBS,2022-02-15,1285.4,1370.0,1277.0,1360.0,1543,6.25,2052893.6
VLBS,2022-02-16,1387.0,1387.0,1320.0,1321.0,220,-2.87,292931.0
VLBS,2022-02-17,1294.6,1320.0,1294.6,1305.0,382,-1.21,496847.0
VLBS,2022-02-20,1282.0,1282.0,1267.0,1267.0,564,-2.91,721915.0
VLBS,2022-02-21,1255.0,1280.0,1255.0,1261.3,483,-0.45,613035.3
VLBS,2022-02-22,1260.0,1300.0,1260.0,1280.1,304,1.49,390450.0
VLBS,2022-02-23,1281.0,1295.4,1270.0,1272.0,220,-0.63,281431.0
VLBS,2022-02-24,1248.0,1260.0,1241.0,1260.0,820,-0.94,1025872.1
VLBS,2022-02-27,1236.0,1255.0,1227.0,1240.0,297,-1.59,368929.0
VLBS,2022-02-28,1241.0,1260.0,1236.0,1248.0,645,0.65,806004.0
VLBS,2022-03-02,1225.0,1230.0,1223.0,1225.2,392,-1.83,480622.3
VLBS,2022-03-06,1245.0,1245.0,1201.0,1201.0,843,-1.98,1020705.0
VLBS,2022-03-07,1225.0,1225.0,1190.0,1190.0,2151,-0.92,2568537.5
VLBS,2022-03-09,1180.0,1183.0,1161.0,1161.0,232,-2.44,272704.0
VLBS,2022-03-10,1140.1,1252.0,1140.1,1252.0,1236,7.84,1456515.0
VLBS,2022-03-13,1271.0,1275.0,1245.0,1275.0,1906,1.84,2412064.5
VLBS,2022-03-14,1275.0,1294.0,1250.0,1255.0,264,-1.57,333080.0
VLBS,2022-03-15,1278.0,1278.0,1240.0,1240.0,1043,-1.2,1304316.8
VLBS,2022-03-16,1232.0,1240.0,1221.0,1240.0,936,0.0,1147036.0
VLBS,2022-03-20,1240.0,1244.0,1193.7,1244.0,765,0.32,926775.4
VLBS,2022-03-21,1242.0,1248.0,1242.0,1248.0,213,0.32,264846.0
VLBS,2022-03-22,1248.0,1248.0,1231.0,1240.0,176,-0.64,218068.2
VLBS,2022-03-23,1240.0,1254.0,1240.0,1240.0,207,0.0,257232.0
VLBS,2022-03-24,1240.0,1250.0,1240.0,1242.0,224,0.16,278785.0
VLBS,2022-03-27,1218.0,1220.0,1218.0,1220.0,169,-1.77,206160.0
VLBS,2022-03-28,1225.0,1225.0,1181.0,1195.0,565,-2.05,677721.0
VLBS,2022-03-29,1179.0,1183.0,1179.0,1181.0,635,-1.17,749957.0
VLBS,2022-03-30,1198.0,1220.0,1195.0,1214.0,696,2.79,834650.0
VLBS,2022-03-31,1190.0,1210.0,1190.0,1208.0,393,-0.49,471880.0
VLBS,2022-04-03,1186.5,1186.5,1185.0,1185.0,264,-1.9,313022.0
VLBS,2022-04-04,1185.0,1185.0,1185.0,1185.0,1,0.0,1163.0
VLBS,2022-04-05,1161.3,1161.3,1119.2,1141.0,1724,-3.71,1956109.2
VLBS,2022-04-06,1130.0,1138.0,1119.0,1130.0,260,-0.96,293860.0
VLBS,2022-04-07,1113.1,1147.0,1113.0,1147.0,346,1.5,391966.5
VLBS,2022-04-11,1130.0,1152.0,1110.0,1112.4,655,-3.02,736955.5
VLBS,2022-04-12,1094.0,1132.0,1056.0,1132.0,1634,1.76,1754589.6
VLBS,2022-04-13,1132.0,1139.3,1115.0,1118.0,564,-1.24,633327.3
VLBS,2022-04-17,1118.0,1140.3,1100.0,1100.0,343,-1.61,383550.9
VLBS,2022-04-18,1100.0,1100.0,1078.0,1080.0,133,-1.82,143730.0
VLBS,2022-04-19,1080.0,1112.0,1050.0,1090.0,1514,0.93,1614879.0
VLBS,2022-04-20,1110.0,1110.0,1047.7,1090.3,2661,0.03,2862557.6
VLBS,2022-04-21,1080.0,1089.0,1060.0,1075.0,420,-1.4,449738.3
VLBS,2022-04-24,1070.0,1131.0,1070.0,1131.0,942,5.21,1036871.1
VLBS,2022-04-25,1150.0,1150.0,1111.0,1111.0,350,-1.77,391370.0
VLBS,2022-04-26,1120.9,1131.0,1096.0,1096.0,229,-1.35,255462.0
VLBS,2022-04-27,1085.0,1096.0,1076.0,1086.0,281,-0.91,305872.0
VLBS,2022-04-28,1080.0,1090.0,1054.0,1055.0,2424,-2.85,2585726.1
VLBS,2022-05-02,1076.0,1076.1,1030.0,1031.0,604,-2.27,626437.2
VLBS,2022-05-04,1050.0,1071.0,1048.9,1049.0,175,1.75,184597.3
VLBS,2022-05-05,1031.0,1035.0,1028.1,1034.9,251,-1.34,258623.9
VLBS,2022-05-08,1015.0,1028.0,1000.0,1025.0,396,-0.96,403696.3
VLBS,2022-05-09,1025.0,1070.0,1025.0,1066.0,345,4.0,363988.6
VLBS,2022-05-10,1080.0,1087.0,1052.0,1087.0,489,1.97,520516.5
VLBS,2022-05-11,1108.0,1165.0,1065.3,1108.0,700,1.93,765722.8
VLBS,2022-05-12,1090.0,1094.4,1073.0,1076.0,331,-2.89,357597.0
VLBS,2022-05-17,1054.7,1054.7,1034.0,1034.0,93,-3.9,97218.2
VLBS,2022-05-18,1016.2,1034.2,1010.0,1034.2,186,0.02,189142.0
VLBS,2022-05-19,1054.0,1070.0,1009.0,1025.0,345,-0.89,357930.0
VLBS,2022-05-20,1015.0,1025.0,1015.0,1025.0,55,0.0,56245.0
VLBS,2022-05-23,1018.0,1018.0,970.5,982.0,834,-4.2,821328.3
VLBS,2022-05-24,1001.0,1025.0,1000.6,1025.0,332,4.38,337706.0
VLBS,2022-05-25,1030.0,1037.0,1010.0,1037.0,214,1.17,219150.0
VLBS,2022-05-26,1016.3,1016.3,1005.0,1010.0,1088,-2.6,1097823.8
VLBS,2022-05-27,1005.0,1005.0,999.0,1001.0,536,-0.89,536833.0
VLBS,2022-05-30,991.0,1000.0,970.0,987.0,1494,-1.4,1465202.0
VLBS,2022-05-31,987.0,1006.0,967.0,988.0,399,0.1,392023.1
VLBS,2022-06-01,990.0,990.0,955.0,955.0,804,-3.34,777553.5
VLBS,2022-06-02,965.0,965.0,950.0,957.0,120,0.21,114895.0
VLBS,2022-06-03,955.0,955.0,919.0,947.0,1554,-1.04,1451724.2
VLBS,2022-06-06,960.0,960.0,958.0,958.0,20,1.16,19180.0
VLBS,2022-06-07,942.0,950.0,925.0,926.0,1120,-3.34,1049173.0
VLBS,2022-06-08,940.0,955.0,930.0,950.0,396,2.59,373292.0
VLBS,2022-06-09,969.0,988.0,962.0,965.0,1011,1.58,983242.0
VLBS,2022-06-10,949.0,984.0,949.0,954.0,193,-1.14,185697.2
VLBS,2022-06-13,945.0,959.8,941.0,958.0,100,0.42,95590.0
VLBS,2022-06-14,955.0,955.0,921.0,950.0,372,-0.84,345260.0
VLBS,2022-06-15,931.1,945.0,920.0,920.0,426,-3.16,396315.9
VLBS,2022-06-16,902.0,969.0,902.0,948.0,207,3.04,193774.0
VLBS,2022-06-17,948.0,956.0,930.0,940.0,212,-0.84,200236.0
VLBS,2022-06-19,922.0,940.0,922.0,922.1,547,-1.9,506700.2
VLBS,2022-06-20,921.0,921.0,867.3,877.0,717,-4.89,631113.9
VLBS,2022-06-21,894.5,910.0,892.0,902.9,756,2.95,680419.6
VLBS,2022-06-22,891.0,891.0,879.0,880.0,414,-2.54,366598.2
VLBS,2022-06-23,865.0,865.0,836.0,847.0,1068,-3.75,909159.0
VLBS,2022-06-24,832.0,875.0,832.0,875.0,203,3.31,173192.0
VLBS,2022-06-26,892.5,946.0,892.5,939.0,966,7.31,893201.4
VLBS,2022-06-27,950.0,957.0,920.3,923.0,708,-1.7,662433.0
VLBS,2022-06-28,912.0,920.0,890.0,900.0,711,-2.49,643402.2
VLBS,2022-06-29,905.0,964.0,905.0,945.0,1072,5.0,1003013.0
VLBS,2022-06-30,940.0,1009.0,940.0,1009.0,2318,6.77,2256058.0
VLBS,2022-07-01,1010.0,1024.0,995.0,995.0,489,-1.39,490511.0
VLBS,2022-07-03,1014.9,1054.0,981.0,1035.0,767,4.02,784405.0
VLBS,2022-07-04,1050.0,1050.0,995.0,995.0,3398,-3.86,3496242.2
VLBS,2022-07-05,1010.0,1015.0,962.1,978.0,1969,-1.71,1931333.5
VLBS,2022-07-06,960.0,988.0,941.1,988.0,450,1.02,432428.0
